Rank,Name,image,Ratings,Price
30,"Pindia PVC DIY 3D Butterfly Home Wall Decor Magnet Sticker for Living and Study Room, Fridge, AC, Nursery Decoration(Pink)...",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/511oHAQB0pL._AC_UL320_.jpg,3.7,5058
31,"Ajanta Quartz Plastic Digital Alarm and Table clock, (8 X 7 X 3.5 cm, White, ODC 190)",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41qMkY1L81L._AC_UL320_.jpg,3.8,5040
32,Webelkart Diya Shape Flower Decorative Urli Bowl for Home Handcrafted Bowl for Floating Flowers and Tea Light Candles Hom...,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81myv4fiv2L._AC_UL320_.jpg,4.4,"50,995"
33,TAZLYN Self Adhesive Mirror for Wall Sticker Mirror Stickers for Wall Mirror Stickers Mirror Stickers for Wall Bathroom Mi...,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31fDQIdm8YL._AC_UL320_.jpg,4.2,5099
34,"Wallstick Motivational Buddha Quotes Vinyl Wall Stickers (115 cm X 60 cm, Multicolour, 57-3161)",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Xt+HCP2xL._AC_UL320_.jpg,4.4,5099
35,iCreations Acrylic Ganesha Customised Home Name Plate (Mirror Gold and Black),https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51SyIYoaMYL._AC_UL320_.jpg,4.4,5099
36,"AMB Fog Colours Eco-Friendly Fog Color Holi, Stage Performance, Party Decoration, Safe Hand Made in India, 5 Pieces in a BoX",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61SrMUo9UlL._AC_UL320_.jpg,2.8,5099
37,"OXSAM Digital Smart Back Light Table Mirror Alarm Clock for Office, Home, and Bedroom with Sensor Date and Temperature (Wh...",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61biAy-Mx8L._AC_UL320_.jpg,4.8,5099
38,Treasure House Mozo - Ultimate Brown Rolling Paper with Filter Tips (Pack of 5) by Treasure House.,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/911m0848tVL._AC_UL320_.jpg,4.3,5050
39,"Parag Fragrances Herbal & Natural 5 in 1 Dhoop Sticks 250Gm Pack / Rose, Sandalwood, Mogra, Camphor & Kasturi / 50Gram Eac...",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91H+m52taGL._AC_UL320_.jpg,3.7,5050
40,"Seva Decorative sea shells, craft and decorative miX seashells 400gm pack",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51o5wU2Kw6L._AC_UL320_.jpg,4.6,5099
41,Rajotia craft's Handmade Wooden Gangaur Ishar Figurines Size 16 inch,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61+leM9+w1L._AC_UL320_.jpg,4,"50,999"
42,"Wolpin Wall Stickers Wallpaper Decal (45cm X 10 m) DIY PVC Self-Adhesive Bubbles, Kids Room, Lamination Paper, Office, Hom...",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71l-ypP44RL._AC_UL320_.jpg,3.9,"50,499"
43,Healthbuddy Stoptar Smoking Filter 10 Packs Of 10 Pcs Each,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51BHL5YPpmL._AC_UL320_.jpg,4.2,5000
44,"Heart Home Artificial Vine Plant with Plastic Pot (Green, 1 Piece)",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/711dsjFUKvL._AC_UL320_.jpg,4.2,5019
45,Chaka Chaundh - Suitable Abdul kalam photo frames for wall - motivational quotes frames - poster with frame - Abdul kalam ...,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/612qHYhLI6L._AC_UL320_.jpg,4.3,5099
46,RDK Original Sandalwood Sticks Scented Processed Mysore Natural Chandan Wood Lakdi for Pooja Tilak Havan & Beauty (35-45 G...,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71RRPtyIY3L._AC_UL320_.jpg,3.8,2039
47,"HEM Precious Chandan Black Incense Sticks (120 Sticks) | Agarbatti for Pooja, Air Purifier & Meditation | Puja Room Items ...",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/616D7X33VHL._AC_UL320_.jpg,4,2049
48,ZinteX Metal Wall Clock for Home Decor and Hall Home Big Size Living Room Hall Bedroom Stylish Clock (Gold) (46X46),https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61wYaZ9EHPL._AC_UL320_.jpg,4.2,40569
49,"SATYAM KRAFT Acrylic Dancing Flame Led Tea Light Candle For Home Decoration, Gifting, House, Light For Balcony, Room, Birt...",https://m.media-amazon.com/images/I/41SFAv4E1hL._AC_UL320_.jpg,3.9,"48,200"
50,"Pink Pari 2 m Aluminium Foil Stickers, Oil Proof , Kitchen Backsplash Wallpaper Self-Adhesive Wall Sticker Anti-Mold and H...",https://m.media-amazon.com/images/I/71JLw26HyNL._AC_UL320_.jpg,3.9,4899
51,"Rey Naturals Lavender Essential Oil for Hair,Skin|100% Pure Lavender Oil with Natural Lavandula Angustifolia EXtract |Calm...",https://m.media-amazon.com/images/I/71nuGakORGL._AC_UL320_.jpg,4,4800
52,"Ryme Artificial Wild Grass Plant With Pot For Home And Office Decoration (Set Of 4, 4)( Set Of 4), Green",https://m.media-amazon.com/images/I/911uUtNB5oL._AC_UL320_.jpg,4,4899
53,"SADHUSADHYA 21 Shape of Mirror Craft (TOTAL-2100 Pices,100 Piece of Each Shape)",https://m.media-amazon.com/images/I/717GD9Za5rL._AC_UL320_.jpg,5,4899
54,TIMESETL Wood Coper Wind Chime for Home Bedroom Balcony Garden Etc. for (Decorate Item),https://m.media-amazon.com/images/I/710xUFpawML._AC_UL320_.jpg,4.1,"48,599"
