rank,name,ratings,actual_price
50,"Wolpin 1Pc Multipurpose Bathroom Cleaning Brush Sink Brush, Shoe Brush Bathroom Brush Tile Cleaning, Pink",2.2,5099
51,"Downy Hearvy Quality Floor Mop with Bucket,Flat Squeeze Cleaning Supplies 3603. Flexible Mop Head/2 Reusable Pads Clean Hom...",3.7,"50,499"
52,Zollyss Multipurpose Plastic Wall Mounted Organizer Storage Hooks Mop and Broom Holder for Kitchen Garden and Garage (Stan...,4.2,5099
53,"ALTON GRC3756, Brass Swan Neck with Flexible Swivel Spout, Black & Chrome Finish (Single Flow)",4.2,"50,950"
54,"SONATA GOLD Series 1440P HD WiFi Bulb Light Wireless IP WiFi Camera,Fish Eye 360 Degree Panoramic Mini Lamp IR CCTV Home S...",4,"50,999"
55,ATHGLOBAL 105 Degree Right Angle Drill Drive Chrome Finish Adaptor or Hex Shank Screwdriver Attachment 1/4 Inch Angled Ada...,3.6,5000
56,Toidek Kitchen Ware ® Door Stopper| Door Bottom Sealing Strip | Door Seal | Door Stopper (Style-4),3.8,5099
57,"Cello Frosty Bucket DLX, 25 litres, Blue (CLO_FRSTY_BCKT_25L_BLU)",4.2,5096
58,Simxen 4 Pcs Dummy CCTV Dome Camera with Blinking Red LED Light for Home Or Office Security Camera,3.6,5099
59,"CP PLUS 2.4MP Full HD IR Dome Night Vision Camera, 3.6mm- 1080p CP-VAC-D24L2-V3",3.8,"50,800"
60,"Tinxy 16 Amps Smart Switch. Retrofit Smart Switch for Home Automation, Works with existing switches. Compatible with Alexa...",4.2,"50,799"
61,Standlast Extension Board Cord 10 AMP 240V 6-Socket Surge Protector Multi Plug Spike Guard with 1.8 Meter Cord-Grey,4.3,5099
62,"Woogor Set of 3 Pc Mini Wire Brush Cleaning Tool Kit Brass, Nylon, Stainless Steel Bristles (Multicolor) (pack of 3)",4,5099
63,MAPPERZ Silicon Toilet Brush with Slim Holder/ Flex Toilet Brush Anti-drip Set Toilet Bowl Cleaner Brush/ No-Slip Long Han...,3.2,5099
64,Novo Tool Kit Tool Kit for Home Use Tools Kit Spanner Set Socket Set Wrench Set Tools Set Hand Tools Bike Tool Kit Set Soc...,3.8,"50,499"
65,"Nasmodo 15 Litre Water can with tap, Portable Camping Picnic Hiking Driving Drinking Dispenser Barrel with Faucet for Trav...",4.3,"50,000"
66,"ALTON SHR20940 Dual Flow Health Faucet with SS-304 Grade 1.25 Meter Flexible Hose Pipe and Wall Hook (Chrome Finish), Poli...",4.2,"50,600"
67,"Solar Outdoor Lights 6 Pack, Wall Lights Solar Powered IP65 Waterproof, 100LED/3 Modes 2703. Lighting Angle Motion Sensor S...",4.4,"50,999"
68,"SKYTONE 24 in 1 Multi-function Plier Tools Made of Stainless Steel with 11 Screwdriver bits with Safety Hook, Bottle Opene...",5,"50,499"
69,GIRNES Door Bottom Sealing Strip Guard for Home | Door Stoppers | Door Seal | Sound-Proof Reduce Noise Energy Saving Weath...,3.8,5099
70,"HomeMate WiFi + BLE Smart Plug Socket 16A (Pack of 1), With Energy Monitoring, Type - M, Suitable for Heavy Duty appliance...",4.2,"50,990"
71,"ZURATO Plastic Self Adhesive No Drills Wall/Rail/Kitchen/Bathroom Strong Sticky Towel Hanger Hook (5 Hooks, 44 x 8cm | Mul...",4.1,5099
72,HOKIPO Magic Sticker Series Toilet Paper Holder in Bathroom - 100% Waterproof and with Mobile Stand,3.9,"50,099"
73,Godrej Nav-tal Ultra XL+ 3 Ton Brass Finish Padlock with 4 Common Keys (Pack of 2),4.5,"50,880"
74,"LandVK's Scratch Proof Kitchen Utensil Scrubber Roll | Scrubber Sponge for Pantry, Dishwashing, Bathroom and Toilet Washin...",3.7,5099
75,"SOLDTRUE Drill Dust Collector catcher Attachment, Electric Drill Dust Cover Ash Bowl Accessory Dustproof Device Electric H...",4.1,5099
76,"SBD Safari ABS Plastic Health Faucet Gun with Flexible Stainless Steel Hose Tube and PVC Holder, Chrome Finished (Perfect ...",3.2,5095
77,VXI Door Bottom Sealing Strip Guard for Home Door Stoppers Door Seal Door Closers Sound-Proof Reduce Noise Energy Saving W...,3.6,5099
78,Replex Window Door String Steel Rope Closer DIY Tool with Screw Option 1Pc Punch Free Self Adhesive Retractable Automatic ...,3.1,5039
79,"Cello Plastic Super Bucket Delux 3001, Sky Blue , 18 Litre",4.4,5029
80,"TECHNOVIBES�?PVC Sound-Proof Reduce Noise Energy Saving Weather Stripping Under Door Twin Draft Stopper (36 inch, Brown)",3.9,5099
81,HOUSE OF VIPA Multipurpose Wall Shelves Shelf Self-Adhesive Sticker Hooks Wall Holder Bathroom Storage Rack Box Strong Sho...,3.7,5099
82,"Black + Decker TB555 550 W 10 millimeters Variable Speed Reversible Hammer Drill (Orange, 1-Piece)",4.2,"50,366"
83,"10X Sink Tap for Kitchen BL-9876 Flexible Neck Dual Flow Grey Color 2 Function Shower Flow/ Foam Flow Wall Mount, Chrome F...",3.9,"50,800"
84,Generic Spin Mop Handle Stick with Microfiber Head Refill Stainless Steel Pole for 3603. Floor Cleaning Mop,2.4,5099
85,Bathla Advance Carbon - 5 Step Foldable Aluminium Ladder for Home with Scratch Resistant Smart Platform and Sure-Hinge Tec...,4.4,"50,999"
86,Nubilous Automatic Wireless Water Bottle Can Dispenser Pump with Rechargeable Battery for 20 Litre Bottle Can with Portabl...,4,5099
87,"Yo India Bathroom Corner Shelf Corner Shelves for Home Decor - One Set (3 Pieces) White in Color (5,7,9 Inch) (Plastic)",3.5,5099
